
### MAR — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
| 24 | 829.9 | 2014 | 2104 | 2053 | 790.6 | 105.5 | 50.3 | 2053 | 6.17M |
| 25 | 790.6 | 2053 | 2104 | 2060 | 783.9 | 98.7 | 43.5 | 2060 | 5.70M |
| 26 | 783.9 | 2060 | 2074 | 2027 | 816.8 | 112.5 | 47.1 | 2027 | 6.12M |
| 27 | 816.8 | 2027 | 2070 | 2026 | 818.2 | 117.0 | 44.0 | 2026 | 6.10M |
| 28 | 818.2 | 2026 | 2093 | 2048 | 796.0 | 111.6 | 44.7 | 2048 | 6.02M |
| 29 | 796.0 | 2048 | 2085 | 2033 | 810.7 | 114.7 | 52.1 | 2082 | 6.38M |
| 30 | 810.7 | 2082 | 2173 | 2119 | 774.1 | 98.5 | 54.3 | 0.0 | 6.19M |

### JUL — Política `P_-10` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2095 | 2095 | 2105 | 904.7 | 0.0 | 1777 | 19.28M |
| 2 | 2105 | 1777 | 2082 | 2082 | 1799 | 599.4 | 0.0 | 1777 | 15.16M |
| 3 | 1799 | 1777 | 2101 | 2101 | 1475 | 275.1 | 0.0 | 1777 | 9.03M |
| 4 | 1475 | 1777 | 2114 | 2114 | 1137 | 0.0 | 0.0 | 1777 | 3.64M |
| 5 | 1137 | 1777 | 2093 | 2093 | 820.8 | 0.0 | 0.0 | 1777 | 2.73M |
| 6 | 820.8 | 1777 | 2079 | 2079 | 518.2 | 0.0 | 0.0 | 1777 | 1.87M |
| 7 | 518.2 | 1777 | 2133 | 2133 | 161.5 | 0.0 | 0.0 | 1777 | 948151 |
| 8 | 161.5 | 1777 | 2110 | 1938 | 0.0 | 0.0 | 171.9 | 1777 | 7.75M |
| 9 | 0.0 | 1777 | 2103 | 1777 | 0.0 | 0.0 | 326.7 | 1777 | 14.29M |
| 10 | 0.0 | 1777 | 2082 | 1777 | 0.0 | 0.0 | 305.2 | 1777 | 13.36M |
| 11 | 0.0 | 1777 | 2101 | 1777 | 0.0 | 0.0 | 324.1 | 1777 | 14.18M |
| 12 | 0.0 | 1777 | 2100 | 1777 | 0.0 | 0.0 | 323.2 | 1777 | 14.14M |
| 13 | 0.0 | 1777 | 2091 | 1777 | 0.0 | 0.0 | 314.4 | 1777 | 13.76M |
| 14 | 0.0 | 1777 | 2117 | 1777 | 0.0 | 0.0 | 339.8 | 1777 | 14.87M |
| 15 | 0.0 | 1777 | 2112 | 1777 | 0.0 | 0.0 | 335.2 | 1777 | 14.66M |
| 16 | 0.0 | 1777 | 2137 | 1777 | 0.0 | 0.0 | 360.7 | 1777 | 15.78M |
| 17 | 0.0 | 1777 | 2101 | 1777 | 0.0 | 0.0 | 324.4 | 1777 | 14.19M |
| 18 | 0.0 | 1777 | 2112 | 1777 | 0.0 | 0.0 | 335.0 | 1777 | 14.66M |
| 19 | 0.0 | 1777 | 2038 | 1777 | 0.0 | 0.0 | 261.3 | 1777 | 11.43M |
| 20 | 0.0 | 1777 | 2109 | 1777 | 0.0 | 0.0 | 332.6 | 1777 | 14.55M |
| 21 | 0.0 | 1777 | 2113 | 1777 | 0.0 | 0.0 | 336.3 | 1777 | 14.72M |
